storm_id,storm_name,rows,year,landfall_date,wind_speed_at_landfall,strict_landfall_date,strict_wind_speed_at_landfall,is_hurricane,max_wind_speed,has_any_landfall,has_strict_landfall,has_liberal_landfall
AL061900,UNNAMED,24,1900,1900-10-12 00:00:00,40.0,0,0.0,False,40,True,False,False
AL011901,UNNAMED,21,1901,1901-06-13 18:00:00,35.0,0,0.0,False,35,True,False,False
AL041901,UNNAMED,71,1901,1901-08-10 18:00:00,40.0,0,0.0,True,80,True,False,True
AL081901,UNNAMED,44,1901,1901-09-17 18:00:00,50.0,0,0.0,True,70,True,False,True
AL101901,UNNAMED,48,1901,1901-09-28 00:00:00,40.0,0,0.0,False,45,True,False,False
AL011902,UNNAMED,23,1902,1902-06-14 23:00:00,50.0,0,0.0,False,50,True,False,False
AL041902,UNNAMED,44,1902,1902-10-10 21:00:00,50.0,0,0.0,True,90,True,False,True
AL031903,UNNAMED,33,1903,1903-09-11 23:00:00,75.0,1903-09-11 23:00:00,75.0,True,80,True,True,True
AL041904,UNNAMED,41,1904,1904-10-17 06:00:00,70.0,1904-10-17 06:00:00,70.0,True,70,True,True,True
AL061904,UNNAMED,26,1904,1904-11-03 12:00:00,35.0,0,0.0,False,45,True,False,False
AL011906,UNNAMED,27,1906,1906-06-12 18:00:00,45.0,0,0.0,False,45,True,False,False
AL021906,UNNAMED,41,1906,1906-06-17 00:00:00,70.0,1906-06-17 00:00:00,70.0,True,90,True,True,True
AL081906,UNNAMED,65,1906,1906-10-18 06:00:00,105.0,1906-10-18 06:00:00,105.0,True,105,True,True,True
AL011907,UNNAMED,27,1907,1907-06-28 18:00:00,50.0,0,0.0,False,55,True,False,False
AL021907,UNNAMED,23,1907,1907-09-18 12:00:00,30.0,0,0.0,False,40,True,False,False
AL031907,UNNAMED,13,1907,1907-09-28 18:00:00,45.0,0,0.0,False,45,True,False,False
AL031909,UNNAMED,36,1909,1909-06-28 20:00:00,45.0,0,0.0,False,45,True,False,False
AL081909,UNNAMED,17,1909,1909-08-29 06:00:00,45.0,0,0.0,False,45,True,False,False
AL101909,UNNAMED,21,1909,1909-09-25 18:00:00,30.0,0,0.0,False,50,True,False,False
AL111909,UNNAMED,30,1909,1909-10-11 18:00:00,100.0,1909-10-11 18:00:00,100.0,True,105,True,True,True
AL051910,UNNAMED,59,1910,1910-10-18 00:00:00,105.0,1910-10-18 00:00:00,105.0,True,130,True,True,True
AL021911,UNNAMED,26,1911,1911-08-11 18:00:00,70.0,1911-08-11 18:00:00,70.0,True,70,True,True,True
AL061911,UNNAMED,25,1911,1911-10-31 18:00:00,35.0,0,0.0,False,45,True,False,False
AL051912,UNNAMED,30,1912,1912-10-04 12:00:00,30.0,0,0.0,True,80,True,False,True
AL011914,UNNAMED,19,1914,1914-09-17 07:00:00,60.0,0,0.0,False,60,True,False,False
AL011915,UNNAMED,22,1915,1915-08-01 12:00:00,65.0,1915-08-01 12:00:00,65.0,True,65,True,True,True
AL041915,UNNAMED,27,1915,1915-09-04 06:00:00,80.0,1915-09-04 06:00:00,80.0,True,85,True,True,True
AL011916,UNNAMED,19,1916,1916-05-14 00:00:00,30.0,0,0.0,False,50,True,False,False
AL071916,UNNAMED,22,1916,1916-08-25 06:00:00,40.0,0,0.0,True,95,True,False,True
AL141916,UNNAMED,43,1916,1916-10-18 12:00:00,95.0,1916-10-18 12:00:00,95.0,True,95,True,True,True
AL151916,UNNAMED,22,1916,1916-11-15 18:00:00,55.0,0,0.0,False,60,True,False,False
AL041917,UNNAMED,43,1917,1917-09-29 00:00:00,100.0,1917-09-29 00:00:00,100.0,True,130,True,True,True
AL011919,UNNAMED,16,1919,1919-07-04 06:00:00,55.0,0,0.0,False,55,True,False,False
AL051920,UNNAMED,24,1920,1920-09-30 09:00:00,55.0,0,0.0,True,75,True,False,True
AL051921,UNNAMED,36,1921,1921-10-15 18:00:00,30.0,0,0.0,False,70,True,False,False
AL061921,UNNAMED,43,1921,1921-10-25 18:00:00,100.0,1921-10-25 18:00:00,100.0,True,120,True,True,True
AL051924,UNNAMED,29,1924,1924-09-15 12:00:00,75.0,1924-09-15 12:00:00,75.0,True,75,True,True,True
AL081924,UNNAMED,18,1924,1924-09-29 21:00:00,55.0,0,0.0,False,65,True,False,False
AL101924,UNNAMED,40,1924,1924-10-21 01:00:00,80.0,1924-10-21 01:00:00,80.0,True,145,True,True,True
AL041925,UNNAMED,36,1925,1925-12-01 03:00:00,55.0,0,0.0,False,80,True,False,False
AL011926,UNNAMED,47,1926,1926-07-28 10:00:00,90.0,1926-07-28 10:00:00,90.0,True,120,True,True,True
AL071926,UNNAMED,46,1926,1926-09-18 12:00:00,125.0,1926-09-18 12:00:00,125.0,True,130,True,True,True
AL011928,UNNAMED,46,1928,1928-08-08 07:00:00,85.0,1928-08-08 07:00:00,85.0,True,90,True,True,True
AL021928,UNNAMED,42,1928,1928-08-13 00:00:00,60.0,0,0.0,True,80,True,False,True
AL041928,UNNAMED,62,1928,1928-09-17 00:00:00,125.0,1928-09-17 00:00:00,125.0,True,140,True,True,True
AL021929,UNNAMED,67,1929,1929-09-28 13:00:00,100.0,1929-09-28 13:00:00,100.0,True,135,True,True,True
AL021930,UNNAMED,81,1930,1930-09-09 06:00:00,40.0,0,0.0,True,135,True,False,True
AL031932,UNNAMED,39,1932,1932-08-30 00:00:00,55.0,0,0.0,True,75,True,False,True
AL061932,UNNAMED,38,1932,1932-09-15 04:00:00,50.0,0,0.0,False,65,True,False,False
AL051933,UNNAMED,51,1933,1933-07-30 16:00:00,65.0,1933-07-30 16:00:00,65.0,True,80,True,True,True
