,storm_id,landfall_marker,status,wind_speed,pressure,is_hurricane,datetime,geometry,on_land
9600,AL011900,,TS,35,-999,False,1900-08-27 00:00:00,POINT (-42.1 15),False
9601,AL011900,,TS,35,-999,False,1900-08-27 06:00:00,POINT (-43.4 15.2),False
9602,AL011900,,TS,35,-999,False,1900-08-27 12:00:00,POINT (-44.7 15.3),False
9603,AL011900,,TS,35,-999,False,1900-08-27 18:00:00,POINT (-45.6 15.4),False
9604,AL011900,,TS,35,-999,False,1900-08-28 00:00:00,POINT (-46.6 15.6),False
9605,AL011900,,TS,35,-999,False,1900-08-28 06:00:00,POINT (-47.9 15.8),False
9606,AL011900,,TS,35,-999,False,1900-08-28 12:00:00,POINT (-49.1 16),False
9607,AL011900,,TS,35,-999,False,1900-08-28 18:00:00,POINT (-50.3 16.1),False
9608,AL011900,,TS,35,-999,False,1900-08-29 00:00:00,POINT (-51.4 16.3),False
9609,AL011900,,TS,35,-999,False,1900-08-29 06:00:00,POINT (-52.4 16.4),False
9610,AL011900,,TS,40,-999,False,1900-08-29 12:00:00,POINT (-53.7 16.5),False
9611,AL011900,,TS,40,-999,False,1900-08-29 18:00:00,POINT (-55.1 16.6),False
9612,AL011900,,TS,40,-999,False,1900-08-30 00:00:00,POINT (-56.6 16.8),False
9613,AL011900,,TS,40,-999,False,1900-08-30 06:00:00,POINT (-58 16.9),False
9614,AL011900,,TS,45,-999,False,1900-08-30 12:00:00,POINT (-59.3 17),False
9615,AL011900,,TS,45,-999,False,1900-08-30 18:00:00,POINT (-60.6 17),False
9616,AL011900,,TS,45,-999,False,1900-08-31 00:00:00,POINT (-61.9 17.1),False
9617,AL011900,,TS,45,-999,False,1900-08-31 06:00:00,POINT (-63.3 17.2),False
9618,AL011900,,TS,45,-999,False,1900-08-31 12:00:00,POINT (-64.7 17.3),False
9619,AL011900,,TS,45,-999,False,1900-08-31 18:00:00,POINT (-65.6 17.4),False
9620,AL011900,,TS,45,-999,False,1900-09-01 00:00:00,POINT (-66.4 17.5),False
9621,AL011900,,TS,45,-999,False,1900-09-01 06:00:00,POINT (-67.4 17.6),False
9622,AL011900,,TS,45,-999,False,1900-09-01 12:00:00,POINT (-68.3 17.7),False
9623,AL011900,,TS,40,-999,False,1900-09-01 18:00:00,POINT (-69.2 18),False
9624,AL011900,,TS,40,-999,False,1900-09-02 00:00:00,POINT (-70.3 18.3),False
9625,AL011900,,TS,35,-999,False,1900-09-02 06:00:00,POINT (-71.3 18.7),False
9626,AL011900,,TS,35,-999,False,1900-09-02 12:00:00,POINT (-72.3 19),False
9627,AL011900,,TS,35,-999,False,1900-09-02 18:00:00,POINT (-73.2 19.3),False
9628,AL011900,,TS,35,-999,False,1900-09-03 00:00:00,POINT (-74.1 19.5),False
9629,AL011900,,TS,35,-999,False,1900-09-03 06:00:00,POINT (-75 19.7),False
9630,AL011900,,TS,35,-999,False,1900-09-03 12:00:00,POINT (-76 20),False
9631,AL011900,,TS,35,-999,False,1900-09-03 18:00:00,POINT (-76.6 20.3),False
9632,AL011900,,TS,35,-999,False,1900-09-04 00:00:00,POINT (-77.2 20.6),False
9633,AL011900,,TS,35,-999,False,1900-09-04 06:00:00,POINT (-77.7 21),False
9634,AL011900,,TS,35,-999,False,1900-09-04 12:00:00,POINT (-78.3 21.3),False
9635,AL011900,,TS,35,-999,False,1900-09-04 18:00:00,POINT (-78.9 21.6),False
9636,AL011900,,TS,35,-999,False,1900-09-05 00:00:00,POINT (-79.5 22),False
9637,AL011900,,TS,35,-999,False,1900-09-05 06:00:00,POINT (-80.1 22.4),False
9638,AL011900,,TS,45,-999,False,1900-09-05 12:00:00,POINT (-80.7 23),False
9639,AL011900,,TS,55,-999,False,1900-09-05 18:00:00,POINT (-81.5 23.5),False
9640,AL011900,,TS,60,-999,False,1900-09-06 00:00:00,POINT (-82.3 24.1),False
9641,AL011900,,HU,65,-999,True,1900-09-06 06:00:00,POINT (-83.2 24.8),False
9642,AL011900,,HU,75,-999,True,1900-09-06 12:00:00,POINT (-84.1 25.5),False
9643,AL011900,,HU,85,974,True,1900-09-06 18:00:00,POINT (-85.2 26.1),False
9644,AL011900,,HU,95,-999,True,1900-09-07 00:00:00,POINT (-86.2 26.5),False
9645,AL011900,,HU,105,-999,True,1900-09-07 06:00:00,POINT (-87.4 26.8),False
9646,AL011900,,HU,115,-999,True,1900-09-07 12:00:00,POINT (-88.7 27),False
9647,AL011900,,HU,125,-999,True,1900-09-07 18:00:00,POINT (-89.7 27.2),False
9648,AL011900,,HU,125,-999,True,1900-09-08 00:00:00,POINT (-90.6 27.4),False
9649,AL011900,,HU,125,-999,True,1900-09-08 06:00:00,POINT (-91.5 27.6),False
9650,AL011900,,HU,120,-999,True,1900-09-08 12:00:00,POINT (-92.4 27.8),False
9651,AL011900,,HU,120,-999,True,1900-09-08 18:00:00,POINT (-93.5 28.2),False
9652,AL011900,,HU,120,936,True,1900-09-09 00:00:00,POINT (-94.7 28.9),False
9653,AL011900,L,HU,120,936,True,1900-09-09 02:00:00,POINT (-95.1 29.1),True
9654,AL011900,,HU,90,-999,True,1900-09-09 06:00:00,POINT (-95.9 29.8),True
9655,AL011900,,HU,65,-999,True,1900-09-09 12:00:00,POINT (-96.9 31),True
9656,AL011900,,TS,50,-999,False,1900-09-09 18:00:00,POINT (-97.6 32.2),True
9657,AL011900,,TS,45,-999,False,1900-09-10 00:00:00,POINT (-97.8 33.4),True
9658,AL011900,,TS,40,-999,False,1900-09-10 06:00:00,POINT (-97.8 34.7),True
9659,AL011900,,TS,35,-999,False,1900-09-10 12:00:00,POINT (-97.6 36),True
9660,AL011900,,TD,30,-999,False,1900-09-10 18:00:00,POINT (-97.3 37.4),True
9661,AL011900,,TD,30,-999,False,1900-09-11 00:00:00,POINT (-96.5 38.8),True
9662,AL011900,,TD,30,-999,False,1900-09-11 06:00:00,POINT (-95.1 40.2),True
9663,AL011900,,EX,40,-999,False,1900-09-11 12:00:00,POINT (-92.4 41.5),True
9664,AL011900,,EX,50,-999,False,1900-09-11 18:00:00,POINT (-88.6 42.6),True
9665,AL011900,,EX,55,-999,False,1900-09-12 00:00:00,POINT (-84.2 43.4),True
9666,AL011900,,EX,60,-999,False,1900-09-12 06:00:00,POINT (-79.4 44.3),False
9667,AL011900,,EX,65,-999,False,1900-09-12 12:00:00,POINT (-74.5 45.2),False
9668,AL011900,,EX,65,-999,False,1900-09-12 18:00:00,POINT (-69.3 46.3),True
9669,AL011900,,EX,65,-999,False,1900-09-13 00:00:00,POINT (-64 47.5),False
9670,AL011900,,EX,65,-999,False,1900-09-13 06:00:00,POINT (-58.7 48.6),False
9671,AL011900,,EX,65,-999,False,1900-09-13 12:00:00,POINT (-53.9 49.7),False
9672,AL011900,,EX,60,-999,False,1900-09-13 18:00:00,POINT (-49.8 50.6),False
9673,AL011900,,EX,55,-999,False,1900-09-14 00:00:00,POINT (-46.2 51.4),False
9674,AL011900,,EX,50,-999,False,1900-09-14 06:00:00,POINT (-43 52.1),False
9675,AL011900,,EX,45,-999,False,1900-09-14 12:00:00,POINT (-40 53),False
9676,AL011900,,EX,45,-999,False,1900-09-14 18:00:00,POINT (-37.2 54.1),False
9677,AL011900,,EX,45,-999,False,1900-09-15 00:00:00,POINT (-34.6 55.3),False
9678,AL011900,,EX,40,-999,False,1900-09-15 06:00:00,POINT (-32.2 56.7),False
9679,AL011900,,EX,40,-999,False,1900-09-15 12:00:00,POINT (-30 58.2),False
9680,AL011900,,EX,35,-999,False,1900-09-15 18:00:00,POINT (-28 60),False
9682,AL021900,,TS,35,-999,False,1900-09-07 00:00:00,POINT (-28 14.5),False
9683,AL021900,,TS,40,-999,False,1900-09-07 06:00:00,POINT (-29.5 14.7),False
9684,AL021900,,TS,45,-999,False,1900-09-07 12:00:00,POINT (-31 15),False
9685,AL021900,,TS,50,-999,False,1900-09-07 18:00:00,POINT (-32.3 15.2),False
9686,AL021900,,TS,55,-999,False,1900-09-08 00:00:00,POINT (-33.6 15.3),False
9687,AL021900,,TS,60,-999,False,1900-09-08 06:00:00,POINT (-34.8 15.4),False
9688,AL021900,,TS,60,-999,False,1900-09-08 12:00:00,POINT (-36 15.5),False
9689,AL021900,,TS,60,-999,False,1900-09-08 18:00:00,POINT (-37.3 15.7),False
9690,AL021900,,TS,60,-999,False,1900-09-09 00:00:00,POINT (-38.6 15.8),False
9691,AL021900,,TS,60,-999,False,1900-09-09 06:00:00,POINT (-39.8 15.9),False
9692,AL021900,,TS,60,-999,False,1900-09-09 12:00:00,POINT (-41 16),False
9693,AL021900,,TS,60,-999,False,1900-09-09 18:00:00,POINT (-42.3 16.2),False
9694,AL021900,,TS,60,-999,False,1900-09-10 00:00:00,POINT (-43.6 16.3),False
9695,AL021900,,TS,60,-999,False,1900-09-10 06:00:00,POINT (-44.8 16.4),False
9696,AL021900,,TS,60,-999,False,1900-09-10 12:00:00,POINT (-46 16.5),False
9697,AL021900,,TS,60,-999,False,1900-09-10 18:00:00,POINT (-47.2 16.7),False
9698,AL021900,,TS,60,-999,False,1900-09-11 00:00:00,POINT (-48.3 16.8),False
9699,AL021900,,TS,60,-999,False,1900-09-11 06:00:00,POINT (-49.4 16.9),False
9700,AL021900,,TS,60,-999,False,1900-09-11 12:00:00,POINT (-50.5 17),False
9701,AL021900,,TS,60,-999,False,1900-09-11 18:00:00,POINT (-51.7 17.2),False
9702,AL021900,,TS,60,-999,False,1900-09-12 00:00:00,POINT (-52.8 17.3),False
9703,AL021900,,TS,60,-999,False,1900-09-12 06:00:00,POINT (-53.9 17.4),False
9704,AL021900,,TS,60,-999,False,1900-09-12 12:00:00,POINT (-55 17.5),False
9705,AL021900,,TS,60,-999,False,1900-09-12 18:00:00,POINT (-56.1 17.7),False
9706,AL021900,,TS,60,-999,False,1900-09-13 00:00:00,POINT (-57.2 18),False
9707,AL021900,,TS,60,-999,False,1900-09-13 06:00:00,POINT (-58.3 18.5),False
9708,AL021900,,HU,65,-999,True,1900-09-13 12:00:00,POINT (-59.3 19),False
9709,AL021900,,HU,70,-999,True,1900-09-13 18:00:00,POINT (-60 19.5),False
9710,AL021900,,HU,75,-999,True,1900-09-14 00:00:00,POINT (-60.6 20),False
9711,AL021900,,HU,80,-999,True,1900-09-14 06:00:00,POINT (-61.3 20.5),False
9712,AL021900,,HU,80,-999,True,1900-09-14 12:00:00,POINT (-62 21),False
9713,AL021900,,HU,85,-999,True,1900-09-14 18:00:00,POINT (-62.5 21.4),False
9714,AL021900,,HU,85,-999,True,1900-09-15 00:00:00,POINT (-63.1 21.8),False
9715,AL021900,,HU,85,-999,True,1900-09-15 06:00:00,POINT (-63.5 22.2),False
9716,AL021900,,HU,85,-999,True,1900-09-15 12:00:00,POINT (-64 22.7),False
9717,AL021900,,HU,85,-999,True,1900-09-15 18:00:00,POINT (-64.7 23.4),False
9718,AL021900,,HU,90,-999,True,1900-09-16 00:00:00,POINT (-65 23.8),False
9719,AL021900,,HU,95,-999,True,1900-09-16 06:00:00,POINT (-65.3 24.3),False
9720,AL021900,,HU,100,-999,True,1900-09-16 12:00:00,POINT (-65.5 25),False
9721,AL021900,,HU,105,-999,True,1900-09-16 18:00:00,POINT (-65.7 26),False
9722,AL021900,,HU,105,-999,True,1900-09-17 00:00:00,POINT (-65.6 27.1),False
9723,AL021900,,HU,105,-999,True,1900-09-17 06:00:00,POINT (-65.4 28.2),False
9724,AL021900,,HU,100,-999,True,1900-09-17 12:00:00,POINT (-65 29.3),False
9725,AL021900,,HU,95,-999,True,1900-09-17 18:00:00,POINT (-64.1 31.1),False
9726,AL021900,,HU,85,-999,True,1900-09-18 00:00:00,POINT (-62.6 33.2),False
9727,AL021900,,HU,75,-999,True,1900-09-18 06:00:00,POINT (-60.4 35.1),False
9728,AL021900,,HU,65,-999,True,1900-09-18 12:00:00,POINT (-58 36.5),False
9729,AL021900,,TS,50,-999,False,1900-09-18 18:00:00,POINT (-56 38),False
9730,AL021900,,TS,35,-999,False,1900-09-19 00:00:00,POINT (-53.3 39.7),False
9731,AL021900,,TD,30,-999,False,1900-09-19 06:00:00,POINT (-49.8 41.5),False
9733,AL031900,,TS,40,-999,False,1900-09-08 12:00:00,POINT (-18.5 10),False
9734,AL031900,,TS,45,-999,False,1900-09-08 18:00:00,POINT (-19.4 10.3),False
9735,AL031900,,TS,50,-999,False,1900-09-09 00:00:00,POINT (-20.3 10.6),False
